序号,标题,接口名称,测试URL,"deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","platformVersion
(平台版本)","appVersion
（app版本号）",mobile,"bizKey
（业务参数）",if_token,预期返回包含的内容
94,获取组织名片交换模式,org/obtainOrgJoinMethod,http://172.28.6.113:8080/org/obtainOrgJoinMethod,863637027549372,iOS,8.2,3.0,13581535754,"{""feedId"":""o_336506""}",yes,"""result"":""success"",""data"":{""joinMethod"":""1""},""code"":""0"""
95,获取组织名片交换模式-feedId为空,org/obtainOrgJoinMethod,http://172.28.6.113:8080/org/obtainOrgJoinMethod,863637027549372,android,19,3.0,13581535754,"{""feedId"":""""}",yes,"""code"":""4002"""
96,获取某节点下所有的子节点和成员名片,org/obtainSubNodesAndStaffCardsByParentId,http://172.28.6.113:8080/org/obtainSubNodesAndStaffCardsByParentId,863637027549372,iOS,8.2,3.0,13581535754,"{""feedId"":""o_336506"",""nodeId"":360514}",yes,"""result"":""success"",""data"":{""subNodes"".*""feedIdList"""
97,获取某节点下所有的子节点和成员名片-feedId为空,org/obtainSubNodesAndStaffCardsByParentId,http://172.28.6.113:8080/org/obtainSubNodesAndStaffCardsByParentId,863637027549372,android,19,3.0,13581535754,"{""feedId"":"""",""nodeId"":360514}",yes,"""code"":""4001"""
98,获取某节点下所有的子节点和成员名片-nodeId为空,org/obtainSubNodesAndStaffCardsByParentId,http://172.28.6.113:8080/org/obtainSubNodesAndStaffCardsByParentId,863637027549372,iOS,8.2,3.0,13581535754,"{""feedId"":""o_336506"",""nodeId"":""""}",yes,"""code"":""4002"""
99,通过关键字搜索组织部门及员工名片-java,org/searchOrgTreeNodeListByKeyword,http://172.28.6.113:8080/org/searchOrgTreeNodeListByKeyword,863637027549372,android,19,3.0,13581535754,"{""feedId"":""o_336506"",""keyword"":""java""}",yes,"""result"":""success"",""data"":{""subNodes"".*""feedIdList"""
100,通过关键字搜索组织部门及员工名片-人事,org/searchOrgTreeNodeListByKeyword,http://172.28.6.113:8080/org/searchOrgTreeNodeListByKeyword,863637027549372,iOS,8.2,3.0,13581535754,"{""feedId"":""o_336506"",""keyword"":""人事""}",yes,"{""result"":""success"",""data"":.*""name"":""人事部"""
101,通过关键字搜索组织部门及员工名片-java,org/searchOrgTreeNodeListByKeyword,http://172.28.6.113:8080/org/searchOrgTreeNodeListByKeyword,863637027549372,android,19,3.0,13581535754,"{""feedId"":""o_336506"",""keyword"":""java""}",yes,"""result"":""success"",""data"":{""subNodes"".*""feedIdList"""
102,通过关键字搜索组织部门及员工名片-feedId为空,org/searchOrgTreeNodeListByKeyword,http://172.28.6.113:8080/org/searchOrgTreeNodeListByKeyword,863637027549372,iOS,8.2,3.0,13581535754,"{""feedId"":"""",""keyword"":""java""}",yes,"""code"":""4001"""
103,通过关键字搜索组织部门及员工名片-keyword为空,org/searchOrgTreeNodeListByKeyword,http://172.28.6.113:8080/org/searchOrgTreeNodeListByKeyword,863637027549372,android,19,3.0,13581535754,"{""feedId"":""o_336506"",""keyword"":""""}",yes,"""code"":""4001"""
104,授让所有权或管理员权限-3 转让管理权,org/transferPrivilege,http://172.28.6.113:8080/org/transferPrivilege,863637027549372,iOS,8.2,3.0,13581535754,"{""name"":""haoyx"",""feedId"":""o_336491"",""fromMobilePhone"":""13581535754"",""toMobilePhone"":""18611770000"",""type"":3}",yes,"""result"":""success"""
105,授让所有权或管理员权限-1 转让所有权,org/transferPrivilege,http://172.28.6.113:8080/org/transferPrivilege,863637027549372,android,19,3.0,13581535754,"{""name"":""haoyx"",""feedId"":""o_336491"",""fromMobilePhone"":""13581535754"",""toMobilePhone"":""18611770000"",""type"":1}",yes,"""result"":""success"""
106,授让所有权或管理员权限-2 转让使用权,org/transferPrivilege,http://172.28.6.113:8080/org/transferPrivilege,863637027549372,iOS,8.2,3.0,13581535754,"{""name"":""haoyx"",""feedId"":""o_336491"",""fromMobilePhone"":""13581535754"",""toMobilePhone"":""18611770000"",""type"":2}",yes,"""result"":""success"""
107,授让所有权或管理员权限-type为空,org/transferPrivilege,http://172.28.6.113:8080/org/transferPrivilege,863637027549372,android,19,3.0,13581535754,"{""name"":""haoyx"",""feedId"":""o_336491"",""fromMobilePhone"":""13581535754"",""toMobilePhone"":""18611770000"",""type"":3}",yes,"""code"":""4001"""
108,收回管理员权限 -3 转让管理权,org/takeBackTransfer,http://172.28.6.113:8080/org/takeBackTransfer,863637027549372,iOS,8.2,3.0,13581535754,"{""name"":""haoyx"",""feedId"":""o_336491"",""toMobilePhone"":""18611775555"",""type"":3}",yes,"""result"":""success"""
109,收回管理员权限 -1 转让所有权,org/takeBackTransfer,http://172.28.6.113:8080/org/takeBackTransfer,863637027549372,android,19,3.0,13581535754,"{""name"":""haoyx"",""feedId"":""o_336491"",""fromUserId"":300141,""fromMobilePhone"":""13581535754"",""toUserId"":324000,""toMobilePhone"":""18611775555"",""type"":1}",yes,"""result"":""success"""
110,收回管理员权限 -2 转让使用权,org/takeBackTransfer,http://172.28.6.113:8080/org/takeBackTransfer,863637027549372,iOS,8.2,3.0,13581535754,"{""name"":""haoyx"",""feedId"":""o_336491"",""fromUserId"":300141,""fromMobilePhone"":""13581535754"",""toUserId"":324000,""toMobilePhone"":""18611775555"",""type"":2}",yes,"""result"":""success"""
111,收回管理员权限 -type为空,org/takeBackTransfer,http://172.28.6.113:8080/org/takeBackTransfer,863637027549372,android,19,3.0,13581535754,"{""name"":""haoyx"",""feedId"":""o_336491"",""fromUserId"":300141,""fromMobilePhone"":""13581535754"",""toUserId"":324000,""toMobilePhone"":""18611775555"",""type"":""""}",yes,"""code"":""4001"""
112,同意接收所有权或管理员权限,org/acceptReceiveTransfer,http://172.28.6.113:8080/org/acceptReceiveTransfer,863637027549371,iOS,8.2,3.0,18611775555,"{""name"":""bobo"",""feedId"":""o_336491"",""type"":3}",yes,"""result"":""success"""
113,拒绝接收所有权或管理员权限,org/refuseReceiveTransfer,http://172.28.6.113:8080/org/refuseReceiveTransfer,863637027549371,android,19,3.0,18611775555,"{""name"":""bobo"",""feedId"":""o_336491"",""type"":3}",yes,"""result"":""success"""
114,取消授让权限,org/cancelTransfer,http://172.28.6.113:8080/org/cancelTransfer,863637027549372,android,19,3.0,13581535754,"{""feedId"":""o_336491"",""type"":3}",yes,"""result"":""success"""
115,根据feedId查询最后一个转让的权限,org/obtainLastOneOrgCardTransferRecordByFeedId,http://172.28.6.113:8080/org/obtainLastOneOrgCardTransferRecordByFeedId,863637027549372,android,19,3.0,13581535754,"{""feedId"":""o_336491""}",yes,"""result"":""success"""
