序号,标题,接口名称,测试URL,"deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","platformVersion
(平台版本)","appVersion
（app版本号）",mobile,"bizKey
（业务参数）",if_token,预期返回包含的内容,,,,,,,,
100,将一批朋友添加至同一分组--亲朋,communicate/addNewMembersToTag,http://124.251.88.61:18084/communicate/addNewMembersToTag,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""friendTagId"":""14"",""feedIdRelationList"":[""c_337253,c_300234""]}",yes,"""result"":""success"",""data"":.*""code"":""0""",,,,,,,,
101,将一批朋友添加至同一分组--单人加入,communicate/addNewMembersToTag,http://124.251.88.61:18084/communicate/addNewMembersToTag,8.63637E+14,android,19,3.1.1,15300136026,"{""friendTagId"":""14"",""feedIdRelationList"":[""c_336440""]}",yes,"""result"":""success"",""data"":.*""friendTagId"":""14"".*""code"":""0""",,,,,,,已经更改为contact接口,"{\n  \""feedIdRelationList\"" : [\n    \""c_1448727411652931,c_331812\""\n  ],\n  \""friendTagId\"" : \""1107\""\n}"
102,通过friendTagId获取关系列表-同事,communicate/obtainMembersInTag,http://124.251.88.61:18084/communicate/obtainMembersInTag,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""friendTagId"":""13""}",yes,"""result"":""success"",""data"":.*""code"":""0""",,,,,,,,
103,通过friendTagId获取关系列表-朋友,communicate/obtainMembersInTag,http://124.251.88.61:18084/communicate/obtainMembersInTag,8.63637E+14,android,19,3.1.1,15300136026,"{""friendTagId"":""14""}",yes,"""result"":""success"",""data"":.*""code"":""0""",,,,,,,,
104,通过friendTagId获取关系列表-friendTagId为空,communicate/obtainMembersInTag,http://124.251.88.61:18084/communicate/obtainMembersInTag,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""friendTagId"":""""}",yes,"""code"":""6000""",,,,,,,,
105-1,将朋友添加到分组 必须是当前好友的所有分组,communicate/addFriendRelationToTags,http://124.251.88.61:18084/communicate/addFriendRelationToTags,8.63637E+14,android,19,3.1.1,15300136026,"{""friendTagIdList"":[12,13,14],""feedId"":""c_300156"",""friendFeedId"":""c_333326"",""tagNameList"":[""亲朋"",""同事"",""朋友""]}",yes,"""result"":""success"",""data"":.*""code"":""0""",,,,,,,,
105,将朋友添加到分组 必须是当前好友的所有分组-非所有分组,communicate/addFriendRelationToTags,http://124.251.88.61:18084/communicate/addFriendRelationToTags,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""friendTagIdList"":[13,14],""feedId"":""c_300156"",""friendFeedId"":""c_333326"",""tagNameList"":[""同事"",""朋友""]}",yes,"""result"":""success"".""data"":[{""friendTagId"":""13""}.*""code"":""0""",,,,,,,,
106,将朋友添加到分组 必须是当前好友的所有分组-tagNameList为空,communicate/addFriendRelationToTags,http://124.251.88.61:18084/communicate/addFriendRelationToTags,8.63637E+14,android,19,3.1.1,15300136026,"{""friendTagIdList"":[12,13,14],""feedId"":""c_300156"",""friendFeedId"":""c_333326"",""tagNameList"":[]}",yes,"""result"":""success"",""data"":[{""friendTagId"":""12""}.*""code"":""0""",,,,,,,,
107,将朋友添加到分组 必须是当前好友的所有分组-friendTagIdList为空,communicate/addFriendRelationToTags,http://124.251.88.61:18084/communicate/addFriendRelationToTags,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""friendTagIdList"":[],""feedId"":""c_300156"",""friendFeedId"":""c_333326"",""tagNameList"":[""亲朋"",""同事"",""朋友""]}",yes,"""result"":""success"",""data"":[{""friendTagId"":""1105"".*""code"":""0""",,,,,,,,
108,删除标签关系,communicate/deleteFriendTagRelation,http://124.251.88.61:18084/communicate/deleteFriendTagRelation,8.63637E+14,android,19,3.1.1,15300136026,"{""friendTagId"":""13"",""feedId"":""c_300156"",""friendFeedId"":""c_333326""}",yes,"""result"":""success"",""data"":.*""code"":""0""",,,,,,,,
109,删除标签关系-错误的tagId,communicate/deleteFriendTagRelation,http://124.251.88.61:18084/communicate/deleteFriendTagRelation,8.63637E+14,android,19,3.1.1,15300136026,"{""friendTagId"":""17"",""feedId"":""c_300156"",""friendFeedId"":""c_333326""}",yes,"""result"":""success""",,,,,,,,
110,删除标签关系-friendTagId为空,communicate/deleteFriendTagRelation,http://124.251.88.61:18084/communicate/deleteFriendTagRelation,8.63637E+14,android,19,3.1.1,15300136026,"{""friendTagId"":"""",""feedId"":""c_300156"",""friendFeedId"":""c_333326""}",yes,"""code"":""6003""",,,,,,,,
